word,frequency,percentage
--- 统计信息 ---,,
总词数: 10440,,
唯一词数: 4512,,
白鹿,106,1.0153
真的,78,0.7471
世界,69,0.6609
和平,66,0.6322
快乐,63,0.6034
退票,56,0.5364
现在,53,0.5077
元宵节,51,0.4885
哈哈哈,50,0.4789
伊朗,47,0.4502
不是,44,0.4215
没有,41,0.3927
元宵,41,0.3927
可爱,36,0.3448
电影,35,0.3352
陈丽君,34,0.3257
老师,33,0.3161
美国,32,0.3065
大家,31,0.2969
喜欢,31,0.2969
宝宝,31,0.2969
工作,30,0.2874
战争,30,0.2874
粉丝,29,0.2778
汤圆,29,0.2778
中国,28,0.2682
李佩仪,28,0.2682
不会,27,0.2586
感觉,27,0.2586
可能,26,0.249
特别,26,0.249
阿育娅,26,0.249
得闲,26,0.249
希望,25,0.2395
很多,25,0.2395
有点,24,0.2299
唐宫,24,0.2299
奇案,24,0.2299
舞台,23,0.2203
觉得,22,0.2107
不要,21,0.2011
出来,21,0.2011
不能,21,0.2011
这种,21,0.2011
一下,20,0.1916
加油,20,0.1916
一起,20,0.1916
哈哈哈哈,20,0.1916
谨制,20,0.1916
ai,20,0.1916
看到,19,0.182
确实,19,0.182
上岸,19,0.182
已经,19,0.182
考研,18,0.1724
微博,18,0.1724
问题,18,0.1724
期待,18,0.1724
啊啊啊,18,0.1724
26,17,0.1628
真正,17,0.1628
支持,17,0.1628
角色,17,0.1628
时尚,17,0.1628
应该,16,0.1533
专业,16,0.1533
大众,16,0.1533
于适,16,0.1533
转发,15,0.1437
优秀,15,0.1437
起来,15,0.1437
知道,15,0.1437
作品,15,0.1437
肖战,15,0.1437
总共,15,0.1437
到底,14,0.1341
永远,14,0.1341
好好,14,0.1341
评论,14,0.1341
好看,14,0.1341
第一,14,0.1341
保持,14,0.1341
之前,13,0.1245
分析,13,0.1245
其实,13,0.1245
选择,13,0.1245
人生,13,0.1245
今天,13,0.1245
以为,13,0.1245
别人,13,0.1245
父母,13,0.1245
人类,13,0.1245
直接,13,0.1245
平安,13,0.1245
AI,13,0.1245
谢谢,12,0.1149
一定,12,0.1149
准备,12,0.1149
不错,12,0.1149
最后,12,0.1149
