word,frequency,percentage
--- 统计信息 ---,,
总词数: 49,,
唯一词数: 45,,
工作,2,4.0816
联系,2,4.0816
lijialun,2,4.0816
客户端,2,4.0816
人民日报,1,2.0408
法人,1,2.0408
微博,1,2.0408
参与,1,2.0408
沟通,1,2.0408
记录,1,2.0408
时代,1,2.0408
新浪,1,2.0408
新闻,1,2.0408
每天,1,2.0408
了解,1,2.0408
世界,1,2.0408
多一点,1,2.0408
下载,1,2.0408
报道,1,2.0408
国内,1,2.0408
国外,1,2.0408
重要,1,2.0408
影片,1,2.0408
动态,1,2.0408
电影票,1,2.0408
周边,1,2.0408
福利,1,2.0408
赠送,1,2.0408
喜欢,1,2.0408
方式,1,2.0408
一生,1,2.0408
xnyyss3,1,2.0408
八千里,1,2.0408
QQ,1,2.0408
3163512220,1,2.0408
从来不,1,2.0408
喝水,1,2.0408
眼泪,1,2.0408
不看,1,2.0408
私信,1,2.0408
yezai10,1,2.0408
珍惜,1,2.0408
天赋,1,2.0408
保持,1,2.0408
悲悯,1,2.0408
