word,frequency,percentage
--- 统计信息 ---,,
总词数: 396,,
唯一词数: 283,,
考研,22,5.5556
上岸,7,1.7677
国家,5,1.2626
可能,5,1.2626
同学,5,1.2626
查分,4,1.0101
调剂,4,1.0101
分数线,4,1.0101
真的,4,1.0101
分数,4,1.0101
复试,4,1.0101
咨询,4,1.0101
出来,3,0.7576
不想,3,0.7576
2026,3,0.7576
发布,3,0.7576
考生,3,0.7576
看到,3,0.7576
不再,3,0.7576
学长,3,0.7576
学姐,3,0.7576
决战,2,0.5051
学校,2,0.5051
成绩,2,0.5051
高考,2,0.5051
今天,2,0.5051
出分,2,0.5051
面试,2,0.5051
特别,2,0.5051
一定,2,0.5051
喜欢,2,0.5051
图书馆,2,0.5051
不是,2,0.5051
努力,2,0.5051
没有,2,0.5051
一天,2,0.5051
准备,2,0.5051
当年,2,0.5051
专业,2,0.5051
人数,2,0.5051
其实,2,0.5051
程度,2,0.5051
上涨,2,0.5051
下降,2,0.5051
发挥,2,0.5051
一点,2,0.5051
当成,2,0.5051
每个,2,0.5051
忧愁,2,0.5051
计较,2,0.5051
需要,2,0.5051
高校,2,0.5051
已经,2,0.5051
本届,2,0.5051
感觉,2,0.5051
十年,2,0.5051
黑名单,1,0.2525
我娃,1,0.2525
去年,1,0.2525
一百分,1,0.2525
中考,1,0.2525
稀烂,1,0.2525
人生,1,0.2525
关键,1,0.2525
节点,1,0.2525
瞎搞,1,0.2525
不敢,1,0.2525
查跑,1,0.2525
完查,1,0.2525
居然,1,0.2525
过线,1,0.2525
下午,1,0.2525
接到,1,0.2525
hr,1,0.2525
电话,1,0.2525
给我发,1,0.2525
offer,1,0.2525
之后,1,0.2525
难受,1,0.2525
能进,1,0.2525
拒掉,1,0.2525
那家,1,0.2525
公司,1,0.2525
工作,1,0.2525
擅长,1,0.2525
领域,1,0.2525
西湖,1,0.2525
边上,1,0.2525
同样,1,0.2525
朋友,1,0.2525
打电话,1,0.2525
湖面,1,0.2525
沉默不语,1,0.2525
心里,1,0.2525
五味杂陈,1,0.2525
想起,1,0.2525
天不亮,1,0.2525
宿舍楼,1,0.2525
背书,1,0.2525
闭馆,1,0.2525
