word,frequency,percentage
--- 统计信息 ---,,
总词数: 76304,,
唯一词数: 17624,,
伊朗,972,1.2739
视频,573,0.7509
微博,477,0.6251
电影,402,0.5268
美国,295,0.3866
中国,269,0.3525
真的,249,0.3263
没有,231,0.3027
春节,223,0.2923
时间,216,0.2831
以色列,216,0.2831
人生,203,0.266
票房,203,0.266
哈梅内伊,198,0.2595
觉得,195,0.2556
袭击,189,0.2477
表示,188,0.2464
不是,176,0.2307
链接,176,0.2307
网页,163,0.2136
新闻,162,0.2123
马上,160,0.2097
飞驰,159,0.2084
已经,154,0.2018
28,154,0.2018
现在,146,0.1913
有戏,145,0.19
感觉,144,0.1887
2026,139,0.1822
大家,139,0.1822
可能,136,0.1782
当地,134,0.1756
导弹,134,0.1756
朋友,133,0.1743
发布,129,0.1691
很多,128,0.1678
一起,127,0.1664
喜欢,126,0.1651
知道,123,0.1612
迪拜,120,0.1573
元宵,120,0.1573
世界,119,0.156
孩子,116,0.152
分享,114,0.1494
机场,113,0.1481
战争,113,0.1481
看到,113,0.1481
今天,111,0.1455
一次,108,0.1415
国家,107,0.1402
工作,105,0.1376
中东,104,0.1363
航班,103,0.135
其实,103,0.135
安全,99,0.1297
镖人,99,0.1297
记者,98,0.1284
最高,97,0.1271
特别,95,0.1245
元宵节,95,0.1245
计划,94,0.1232
报道,94,0.1232
张婧仪,92,0.1206
生活,92,0.1206
目前,91,0.1193
央视,90,0.1179
打击,90,0.1179
发现,89,0.1166
国际,86,0.1127
发动,85,0.1114
特朗普,85,0.1114
这种,85,0.1114
成为,84,0.1101
不会,84,0.1101
最后,83,0.1088
图片,82,0.1075
需要,82,0.1075
AI,82,0.1075
出来,80,0.1048
小时,79,0.1035
数据,79,0.1035
进行,78,0.1022
专业版,77,0.1009
所有,76,0.0996
汤圆,76,0.0996
美以,76,0.0996
起来,75,0.0983
影片,75,0.0983
独一无二,74,0.097
问题,74,0.097
总统,74,0.097
继续,73,0.0957
回应,73,0.0957
一点,73,0.0957
领袖,72,0.0944
截至,71,0.093
行动,71,0.093
一天,70,0.0917
冲突,70,0.0917
事情,69,0.0904
